STORE,STORE_TYPE,Open Date,Sales,Location
386,S,29-Jun-98,206193.9027,"33.78229,-117.22354"
387,S,19980629,146373.8703,"33.92625,-117.45068"
388,S,19980629,215869.7664,"33.889225,-117.322267"
389,S,19980629,109625.9361,"33.94662,-117.47598"
390,S,19980629,94744.93665,"33.96057,-117.39301"
391,S,29-Jun-98,122516.3136,"33.897172,-117.471788"
392,S,19980629,175367.6289,"33.9999,-117.41206"
393,S,19980629,171815.3939,"33.47883,-117.102"
394,S,19980629,65405.7841,"38.713971,-121.29097"
395,S,29-Jun-98,121062.5416,"38.252436,-121.297519"
396,S,29-Jun-98,114540.2328,"38.690849,-121.379917"
397,S,19980629,88648.73652,"38.560201,-121.487932"
398,S,29-Jun-98,69037.70687,"38.62434,-121.433996"
399,S,29-Jun-98,113251.8173,"38.556442,-121.33468"
400,S,19980629,103478.7455,"38.473856,-121.43123"
401,S,19980629,103098.7336,"38.495549,-121.476252"
402,S,29-Jun-98,132513.7677,"38.525341,-121.44372"
403,S,19980629,120183.8623,"38.605927,-121.401959"
404,S,29-Jun-98,73943.96836,"38.62848,-121.383856"
405,S,29-Jun-98,179414.0003,"36.853683,-121.398652"
406,S,29-Jun-98,162953.0818,"34.472022,-117.20838"
407,S,6/29/1998,121531.4847,"34.076033,-117.389223"
408,S,29-Jun-98,108896.4824,"34.01857,-117.67952"
409,S,19980629,137792.9121,"33.983077,-117.715469"
410,S,29-Jun-98,250623.5143,"34.08089,-117.43579"
411,S,6/29/1998,168707.7546,"34.03358,-117.321151"
412,S,29-Jun-98,194548.6833,"34.419326,-117.289787"
413,S,29-Jun-98,123754.7053,"34.06262,-117.69183"
414,S,19980629,138031.7939,"34.04003,-117.65149"
415,S,19980629,134852.4417,"34.063027,-117.6444"
416,S,6/29/1998,144073.6808,"34.079225,-117.611437"
417,S,29-Jun-98,192950.7605,"34.425996,-117.572887"
418,S,6/29/1998,145133.9683,"34.1069,-117.356"
419,S,29-Jun-98,113998.006,"34.120829,-117.373497"
420,S,19980629,115487.0001,"34.13593,-117.29987"
421,S,19980629,184360.74,"34.137326,-116.053683"
422,S,6/29/1998,150478.3007,"34.106549,-117.647959"
423,S,6/29/1998,109220.731,"34.16499,-117.30657"
424,S,29-Jun-98,136274.1937,"32.624872,-117.086811"
425,S,19980629,197255.6487,"32.636397,-117.023681"
426,S,19980629,100916.6558,"32.814589,-116.916562"
427,S,10/2/2015,55255.29824,"32.810654,-115.376691"
428,S,6/29/1998,216052.2204,"33.127342,-117.088093"
429,S,6/29/1998,184693.628,"33.132762,-117.061306"
430,S,29-Jun-98,142761.1596,"33.10385,-117.07549"
431,S,19980629,144678.9207,"32.742173,-117.041304"
